geom,document_bbls,certificate_doc_id,pluto20v1_geom_match,crfn,document_date,recorded_datetime,modified_date,reel_yr,reel_nbr,reel_pg
"MULTIPOLYGON(((-73.9382697003229 40.8237221596105,-73.938344932677 40.8236199557512,-73.9384159001905 40.8235236072896,-73.9384542336247 40.823471563781,-73.9385269267907 40.8235022383294,-73.9386565392284 40.8235569287353,-73.938775693465 40.8236072073161,-73.9388923345893 40.8236564245579,-73.9390114678539 40.8237066929775,-73.9391299424603 40.8237566835731,-73.9392475901412 40.8238063251188,-73.9390643751708 40.8240551336144,-73.9382697003229 40.8237221596105)))",1020330043;1020330044;1020330047;1020330041;1020330040;1020330046;1020330038,2003042900517001,partial,2003000137916,2003-04-09 00:00:00+00,2003-05-21 00:00:00+00,2003-05-21 00:00:00+00,0,0,0
,1007971004;1007971002,2003050600398003,none,2003000127411,2003-04-16 00:00:00+00,2003-05-13 00:00:00+00,2003-05-13 00:00:00+00,0,0,0
,1007971004;1007971002,2003050600398004,none,2003000127412,2003-04-30 00:00:00+00,2003-05-13 00:00:00+00,2003-05-13 00:00:00+00,0,0,0
"MULTIPOLYGON(((-73.9941954054697 40.7361117796689,-73.9943358830815 40.7359188006492,-73.9943888690738 40.7358460097973,-73.9944389194596 40.735866972444,-73.9945217863658 40.7359016792836,-73.9943292737348 40.7361678519501,-73.9941954054697 40.7361117796689)))",1005770037;1005770047,2003051200433001,partial,2003000138623,2003-05-06 00:00:00+00,2003-05-21 00:00:00+00,2003-05-21 00:00:00+00,0,0,0
"MULTIPOLYGON(((-74.0040211049801 40.7481701538183,-74.0040611114147 40.7481148739407,-74.0043839408309 40.7482506800533,-74.0043837963871 40.7482508790707,-74.0043439286621 40.7483059564402,-74.0040211049801 40.7481701538183)))",1006950039;1006950037,2003052001090001,partial,2003000176441,2003-04-29 00:00:00+00,2003-06-18 00:00:00+00,2003-06-18 00:00:00+00,0,0,0
"MULTIPOLYGON(((-73.9674494333029 40.7993912478731,-73.9676322841444 40.7991386399613,-73.9676942411279 40.7991647664201,-73.9675113916351 40.799417373529,-73.9674494333029 40.7993912478731)),((-73.9675113916351 40.799417373529,-73.9676942411279 40.7991647664201,-73.9677475448351 40.7991872425018,-73.967698439531 40.7992550786754,-73.9675646942975 40.7994398505946,-73.9675113916351 40.799417373529)))",1018750040;1018750041,2003061201945001,all,2003000207740,2003-05-08 00:00:00+00,2003-07-02 00:00:00+00,2003-07-02 00:00:00+00,0,0,0
"MULTIPOLYGON(((-73.9428769499316 40.8065304159655,-73.9430610308053 40.8062782972304,-73.9431229337933 40.8063044773626,-73.9432692879442 40.806366371396,-73.9430854472872 40.806618164598,-73.9428769499316 40.8065304159655)),((-73.9427672436343 40.8064842434276,-73.9428653865705 40.8063498287826,-73.9428925088171 40.8063126804514,-73.9429233946081 40.8062703804243,-73.9429514493777 40.8062319547332,-73.9430003172799 40.8062526219321,-73.9430610308053 40.8062782972304,-73.9428769499316 40.8065304159655,-73.9427672436343 40.8064842434276)))",1017220041;1017220040,2003061800690005,all,2003000261010,0203-05-27 00:00:00+00,2003-07-28 00:00:00+00,2003-07-28 00:00:00+00,0,0,0
"MULTIPOLYGON(((-73.8361483830151 40.7864034172658,-73.8365117786158 40.7863655233036,-73.8365173166287 40.7866181635728,-73.8365235513423 40.7869026429893,-73.8365267103127 40.7870467612002,-73.8365294323791 40.7871709884878,-73.83643029959 40.7871819564337,-73.8361074049663 40.7872176808001,-73.8361172659247 40.7870217283564,-73.8361483830151 40.7864034172658)))",4040120001;4040120143,2003062000712001,partial,2003000219132,2003-03-14 00:00:00+00,2003-07-09 00:00:00+00,2003-07-09 00:00:00+00,0,0,0
,1019250064;1019250004,2003062001078001,none,2003000253401,2003-06-16 00:00:00+00,2003-07-24 00:00:00+00,2003-07-24 00:00:00+00,0,0,0
"MULTIPOLYGON(((-73.950692225731 40.8078548816109,-73.9506408483858 40.8078333007984,-73.9508252056876 40.8075795300416,-73.9508987438894 40.8076104097531,-73.9507143820393 40.8078641842262,-73.950692225731 40.8078548816109)),((-73.9506117434551 40.8078210784787,-73.9505736461673 40.8078050918162,-73.9507580095774 40.8075513148648,-73.9508252056876 40.8075795300416,-73.9506408483858 40.8078333007984,-73.9506117434551 40.8078210784787)))",1019280120;1019280020;1019280021,2003062001382005,partial,2003000213422,2002-07-29 00:00:00+00,2003-07-07 00:00:00+00,2003-07-07 00:00:00+00,0,0,0
"MULTIPOLYGON(((-73.9516289888324 40.8082482180282,-73.951813344701 40.8079944457087,-73.9518761971252 40.8080208376476,-73.9516918426083 40.808274610067,-73.9516289888324 40.8082482180282)),((-73.9517239904545 40.8082881084925,-73.9516918426083 40.808274610067,-73.9518761971252 40.8080208376476,-73.9519400507381 40.8080476487011,-73.9517556952059 40.8083014203205,-73.9517239904545 40.8082881084925)))",1019280107;1019280007,2003062001382009,all,2003000213426,2002-07-29 00:00:00+00,2003-07-07 00:00:00+00,2003-07-07 00:00:00+00,0,0,0
"MULTIPOLYGON(((-73.9276859028733 40.7369981211981,-73.927740001972 40.736728855553,-73.9281056442735 40.7367907664948,-73.9281582188098 40.7368148941959,-73.9279872018078 40.7370337314795,-73.9276859028733 40.7369981211981)),((-73.9279872018078 40.7370337314795,-73.9281582188098 40.7368148941959,-73.9283754017078 40.7369145671229,-73.9283382159077 40.7371042296799,-73.9280589536338 40.7370736310044,-73.9280291003221 40.7371071652763,-73.9279872018078 40.7370337314795)))",4002120001;4002120006,2003062500618003,all,2003000351086,2000-08-26 00:00:00+00,2003-09-12 00:00:00+00,2003-09-12 00:00:00+00,0,0,0
"MULTIPOLYGON(((-74.0001040506824 40.7233332875426,-73.999875536715 40.7232193487793,-73.999975036167 40.7231015253017,-74.0002874764767 40.7232573103589,-74.0002378530109 40.7233161245369,-74.000187733516 40.7233750125356,-74.0001040506824 40.7233332875426)),((-73.999875536715 40.7232193487793,-74.0001040506824 40.7233332875426,-73.9999479224993 40.7235178496613,-73.9997186411671 40.7234051415853,-73.999875536715 40.7232193487793)))",1004850022;1004850021,2003062501639001,all,2003000244606,2003-05-05 00:00:00+00,2003-07-21 00:00:00+00,2003-07-21 00:00:00+00,0,0,0
"MULTIPOLYGON(((-74.0001040506824 40.7233332875426,-73.999875536715 40.7232193487793,-73.999975036167 40.7231015253017,-74.0002874764767 40.7232573103589,-74.0002378530109 40.7233161245369,-74.000187733516 40.7233750125356,-74.0001040506824 40.7233332875426)),((-73.999875536715 40.7232193487793,-74.0001040506824 40.7233332875426,-73.9999479224993 40.7235178496613,-73.9997186411671 40.7234051415853,-73.999875536715 40.7232193487793)))",1004850022;1004850021,2003062501770001,all,2003000244610,2003-05-05 00:00:00+00,2003-07-21 00:00:00+00,2003-07-21 00:00:00+00,0,0,0
"MULTIPOLYGON(((-73.9923065517879 40.7235401909188,-73.99258428155 40.7236205904016,-73.9925612189691 40.72367910941,-73.992284837107 40.723599099883,-73.9923065517879 40.7235401909188)))",1004270014;1004270030,2003062701790002,partial,2003000273950,2003-06-25 00:00:00+00,2003-08-01 00:00:00+00,2003-08-01 00:00:00+00,0,0,0
"MULTIPOLYGON(((-73.9445139320517 40.7931209653694,-73.9446938726667 40.7928741985951,-73.9447480305607 40.7928970864725,-73.9445681303643 40.7931438605538,-73.9445139320517 40.7931209653694)),((-73.9497936214605 40.786682036749,-73.9498386491713 40.7866209465437,-73.9501481650812 40.7867513653555,-73.9501031387511 40.786812455681,-73.9497936214605 40.786682036749)),((-73.9445222461819 40.7939472035775,-73.9447025387572 40.7937001749444,-73.9447193866004 40.7937073086845,-73.9447683631013 40.7937280472713,-73.9447324004372 40.7937769163893,-73.944699665433 40.7938214016084,-73.9446625579591 40.7938718280202,-73.9446254504284 40.79392225532,-73.9445869798654 40.7939745333807,-73.9445222461819 40.7939472035775)))",1016350144;1016250020;1016360049,2003070200798002,all,2003000235139,2003-05-21 00:00:00+00,2003-07-16 00:00:00+00,2003-07-16 00:00:00+00,0,0,0
,1001331311;1001331305;1001331310;1001331304;1001331309;1001330029;1001331303;1001331301;1001331306;1001331307;1001331308;1001331302,2003073001692002,none,2003000397743,2003-04-07 00:00:00+00,2003-09-29 00:00:00+00,2003-09-29 00:00:00+00,0,0,0
,1001331001;1001331002,2003080601392001,none,2003000284028,2003-07-23 00:00:00+00,2003-08-06 00:00:00+00,2003-08-06 00:00:00+00,0,0,0
"MULTIPOLYGON(((-73.9907190028764 40.7465307782144,-73.9906910208354 40.7465190675718,-73.9907358881172 40.7464570172916,-73.9907801335747 40.7463958287283,-73.9908668419299 40.7462759160939,-73.9909419649095 40.746307356005,-73.9907661440064 40.7465505066959,-73.9907190028764 40.7465307782144)),((-73.9905347746503 40.7462931420867,-73.9906214833134 40.7461732296353,-73.9908668419299 40.7462759160939,-73.9907801335747 40.7463958287283,-73.9905347746503 40.7462931420867)))",1008040033;1008040034,2003081401423001,all,2003000351991,2003-07-09 00:00:00+00,2003-09-12 00:00:00+00,2003-09-12 00:00:00+00,0,0,0
"MULTIPOLYGON(((-73.9241194377123 40.7137902405455,-73.9243325554147 40.7137351137721,-73.9243558906126 40.7137875073186,-73.9243199667245 40.7137967994923,-73.9241194377123 40.7137902405455)),((-73.9233367183359 40.7134095875269,-73.9240996835507 40.7132122328401,-73.9243325554147 40.7137351137721,-73.9241194377123 40.7137902405455,-73.9239712891774 40.7137853944067,-73.9233367183359 40.7134095875269)))",3029660110;3029660009,2003082200350032,all,2003000362235,2000-08-06 00:00:00+00,2003-09-16 00:00:00+00,2003-09-16 00:00:00+00,0,0,0
"MULTIPOLYGON(((-73.9711827018927 40.7596854793918,-73.9711541151407 40.7596733559459,-73.9713351306491 40.7594257605166,-73.9713840961322 40.7594465266238,-73.9712030807495 40.7596941221293,-73.9711827018927 40.7596854793918)),((-73.9708811505166 40.7598861233699,-73.9710644878134 40.7596353456757,-73.9710985579079 40.7596497947224,-73.9711541151407 40.7596733559459,-73.9711827018927 40.7596854793918,-73.9709993637192 40.7599362563715,-73.9708811505166 40.7598861233699)),((-73.9708229835338 40.7598614555347,-73.9710063221659 40.7596106779324,-73.9710644878134 40.7596353456757,-73.9708811505166 40.7598861233699,-73.9708229835338 40.7598614555347)),((-73.9710985579079 40.7596497947224,-73.9712795723751 40.7594021975782,-73.9713351306491 40.7594257605166,-73.9711541151407 40.7596733559459,-73.9710985579079 40.7596497947224)))",1013090007;1013090065;1013090064;1013090107,2003091601011001,all,2003000378859,2003-09-16 00:00:00+00,2003-09-23 00:00:00+00,2003-09-23 00:00:00+00,0,0,0
